,Unnamed: 0,stop_name,next_stop_name,trip_count,frequency,total_passengers,totalTripTime,distance,OriginLat,OriginLon,DestLat,DestLon,stop_city,next_stop_city,stop_city_distance,next_stop_city_distance,capacity
1084,1084,Siegburg/Bonn,Köln/Bonn Flughafen,17,1664.0,3502,348.0,58.98550503883572,50.79396,7.20262,50.879063,7.11958,Cologne,Cologne,9.046679937424303,2.191453227125621,11492
1085,1085,Siegburg/Bonn,Mannheim Hbf,1,208.0,206,432.0,259.8145698386792,50.79388,7.202485,49.47901,8.469757,Cologne,Mannheim,9.050127471532871,3.2858727989776653,676
1086,1086,Siegburg/Bonn,Montabaur,49,6292.0,10094,282.0,130.84679844243618,50.79388,7.202485,50.444836,7.825333,Cologne,Cologne,9.050127471532871,67.26013360882693,33124
1087,1087,Siegburg/Bonn,Wiesbaden Hbf,3,520.0,618,476.0,204.0490139462005,50.79388,7.202485,50.06972,8.243677,Cologne,Frankfurt,9.050127471532871,23.758040068764707,2028
1088,1088,Siegen Hbf,Dillenburg,11,1768.0,2266,192.0,32.18495233338033,50.876507,8.01715,50.734905,8.294586,Cologne,Frankfurt,61.562304266930795,80.47064670644963,7436
1089,1089,Siegen Hbf,Siegen-Weidenau,14,2236.0,2884,99.0,2.468893592992203,50.876408,8.017311,50.8958,8.029959,Cologne,Cologne,61.5734901642337,62.52827440001071,9464
1090,1090,Siegen-Weidenau,Kreuztal,14,2236.0,2884,99.0,8.16935042512996,50.8958,8.029959,50.95596,7.991961,Cologne,Cologne,62.52827440001071,60.56156782443842,9464
1091,1091,Siegen-Weidenau,Siegen Hbf,11,1872.0,2266,192.0,2.468893592992202,50.895786,8.02978,50.876507,8.01715,Cologne,Cologne,62.515621422272865,61.562304266930795,7436
1092,1092,Singen(Hohentwiel),Engen,19,3535.0,3914,118.0,14.173633098138628,47.7586,8.840231,47.8561,8.772597,Friedrichshafen,Friedrichshafen,51.294832471714436,59.07934043868958,12844
1093,1093,Singen(Hohentwiel),Radolfzell,5,726.0,1030,119.0,10.051724801273608,47.75903,8.841219,47.735676,8.969058,Friedrichshafen,Friedrichshafen,51.230917559134134,41.33493363216086,3380
1094,1094,Singen(Hohentwiel),Tuttlingen,9,2652.0,1854,110.0,33.84127889745045,47.7586,8.840231,47.98054,8.798271,Friedrichshafen,Friedrichshafen,51.294832471714436,63.514244166744724,6084
1095,1095,Soest,Hamm(Westf)Hbf,10,1508.0,2060,269.0,26.84220296416545,51.5783,8.105409,51.6785,7.807492,Dortmund,Dortmund,34.8548880402602,22.376994533624995,6760
1096,1096,Soest,Lippstadt,9,1820.0,1854,336.0,20.768511371666463,51.57819,8.105337,51.670666,8.348161,Dortmund,Paderborn,34.84768436687216,19.600795276667267,6084
1097,1097,Solingen Hbf,Dortmund Hbf,4,0.0,824,267.0,67.7221557526259,51.160767,7.004187,51.5176,7.458793,Duesseldorf,Dortmund,21.912753923491373,10.651523539516221,2704
1098,1098,Solingen Hbf,Duisburg Hbf,1,52.0,206,518.0,41.86555454327316,51.161083,7.004119,51.429787,6.775903,Duesseldorf,Duesseldorf,21.88615107528071,15.620471146470354,676
1099,1099,Solingen Hbf,Düsseldorf Hbf,1,0.0,206,529.0,19.25295086435337,51.161083,7.004119,51.219963,6.794319,Duesseldorf,Duesseldorf,21.88615107528071,7.9716335285263815,676
1100,1100,Solingen Hbf,Köln Hbf,81,8995.0,16686,381.0,44.64528431989682,51.161087,7.003985,50.943333,6.958566,Duesseldorf,Cologne,21.878769520816395,15.557650115243058,54756
1101,1101,Solingen Hbf,Köln Messe/Deutz Gl.11-12,67,9464.0,13802,407.0,26.661974171683173,51.161087,7.003985,50.9416,6.973954,Duesseldorf,Cologne,21.878769520816395,14.556356007378396,45292
1102,1102,Solingen Hbf,Wuppertal Hbf,103,14511.0,21218,439.0,17.66062082580499,51.161083,7.004119,51.254597,7.150042,Duesseldorf,Duesseldorf,21.88615107528071,27.026853734939603,69628
1103,1103,Spaichingen,Rottweil,19,3535.0,3914,118.0,15.489908337689238,48.068996,8.741704,48.16566,8.639871,Friedrichshafen,Stuttgart,72.60710416970997,72.48406611157199,12844
1104,1104,Spaichingen,Tuttlingen,21,4002.0,4326,98.0,12.302952783350056,48.068996,8.741704,47.980232,8.798486,Friedrichshafen,Friedrichshafen,72.60710416970997,63.48230602921226,14196
1105,1105,Stadtroda,Hermsdorf-Klosterlausnitz,3,988.0,618,336.0,4.65697540282359,50.868217,11.722792,50.903778,11.858626,Erfurt,Leipzig,55.181290075321876,63.611056765836096,2028
1106,1106,Stadtroda,Jena-Göschwitz,3,988.0,618,158.0,16.893843679261586,50.868217,11.722792,50.88394,11.593537,Erfurt,Erfurt,55.181290075321876,45.92659478598345,2028
1107,1107,Steinach(bei Rothenburg ob der Tauber),Ansbach Bahnhof,1,364.0,206,461.0,32.946674992737485,49.453743,10.273295,49.299004,10.578067,Nuernberg,Nuernberg,58.53600312320143,42.54841915098586,676
1108,1108,Steinach(bei Rothenburg ob der Tauber),Würzburg Hbf,1,364.0,206,449.0,57.14687986004935,49.453003,10.274113,49.802,9.935924,Nuernberg,Nuernberg,58.48447057135335,89.10913531834964,676
1109,1109,Stendal Hbf,Berlin Zoologischer Garten,2,208.0,412,254.0,103.71421120548628,52.594723,11.854412,52.507652,13.332804,Braunschweig,Berlin,93.4269027317266,19.18705387973307,1352
1110,1110,Stendal Hbf,Berlin-Spandau,59,7957.0,12154,259.0,94.29849269624836,52.594723,11.854412,52.534485,13.1971,Braunschweig,Berlin,93.4269027317266,28.01383266385196,39884
1111,1111,Stendal Hbf,Braunschweig Hbf,2,208.0,412,293.0,108.54472562175285,52.594723,11.854412,52.25227,10.54085,Braunschweig,Braunschweig,93.4269027317266,7.519732211849685,1352
1112,1112,Stendal Hbf,Hannover Hbf,1,364.0,206,205.0,150.09057115538937,52.594723,11.854412,52.377613,9.741834,Braunschweig,Hannover,93.4269027317266,10.060681304636773,676
1113,1113,Stendal Hbf,Ludwigslust,2,520.0,412,232.0,97.7585748617305,52.594723,11.854412,53.335045,11.494205,Braunschweig,Luebeck,93.4269027317266,73.32446127917514,1352
1114,1114,Stendal Hbf,Magdeburg Hbf,7,1455.0,1442,229.0,59.30429453372678,52.594723,11.854412,52.130512,11.626963,Braunschweig,Braunschweig,93.4269027317266,76.12730923908816,4732
1115,1115,Stendal Hbf,Salzwedel,2,312.0,412,149.0,56.88410691465602,52.594723,11.854412,52.858112,11.162035,Braunschweig,Braunschweig,93.4269027317266,72.68213832890723,1352
1116,1116,Stendal Hbf,Wittenberge,4,520.0,824,235.0,54.56878696791853,52.594723,11.854412,53.004498,11.762504,Braunschweig,Laage,93.4269027317266,107.30551944283582,2704
1117,1117,Stendal Hbf,Wolfsburg Hbf,77,10348.0,15862,488.0,75.27019518742144,52.594723,11.854412,52.429665,10.787913,Braunschweig,Braunschweig,93.4269027317266,20.008300732358187,52052
1118,1118,Stralsund Hbf,Bergen auf Rügen,21,2809.0,4326,283.0,29.351335148654588,54.30801,13.078087,54.42034,13.417668,Laage,Laage,67.95737195310232,93.06254702402205,14196
1119,1119,Stralsund Hbf,Greifswald,19,2184.0,3914,423.0,30.79481868339836,54.308037,13.078177,54.092815,13.370453,Laage,Laage,67.96380753641385,74.1990448065139,12844
1120,1120,Stralsund Hbf,Velgast,34,3640.0,7004,468.0,19.50569780185741,54.308075,13.078294,54.277435,12.803131,Laage,Laage,67.97237850834692,52.70392080548775,22984
1121,1121,Straubing,"Passau, Hbf",2,364.0,412,420.0,76.64083812129444,48.876938,12.574492,48.574203,13.451643,Munich,Munich,82.2390860818676,125.58498386566268,1352
1122,1122,Straubing,"Plattling, Bahnhof",6,571.0,1236,479.0,24.272013191366224,48.876938,12.574492,48.778957,12.864414,Munich,Munich,82.2390860818676,92.56721321943137,4056
1123,1123,Straubing,Regensburg Hbf,18,2859.0,3708,426.0,40.622658563320144,48.876938,12.574492,49.012466,12.100397,Munich,Munich,82.2390860818676,76.81488209541753,12168
1124,1124,Stuttgart Hbf,Augsburg Hbf,3,208.0,618,513.0,173.46285953763274,48.784748,9.183217,48.3656,10.885713,Stuttgart,Augsburg,10.925799202652843,7.457760588517425,2028
