,stop_name,next_stop_name,Unnamed: 0,trip_id,stop_id,stop_sequence,route_short_name,next_stop_id,totalTripTime,osm_distance,OriginLat,OriginLon,DestLat,DestLon
74,Bensheim,Darmstadt Hbf,37990,12810,157839,2,ICE 24,504087.0,355.0,22.695223476732597,49.68174,8.616901,49.87304,8.629164
75,Bensheim,Heidelberg Hbf,18322,1485637,394155,12,ICE 15,374089.0,508.0,37.86022032697166,49.681423,8.616721,49.40357,8.675442
76,Bensheim,Mannheim Hbf,18390,259989,394155,12,ICE 15,486826.0,493.0,37.85870426878033,49.681423,8.616721,49.47923,8.470026
77,Bensheim,Weinheim(Bergstr)Hbf,31888,134605,394155,2,IC 62,364388.0,100.0,14.838959958629273,49.681423,8.616721,49.55361,8.665401
78,Bergen auf Rügen,Ostseebad Binz,37351,45562,264170,12,ICE 26,182205.0,283.0,22.99857372708285,54.42034,13.417668,54.405552,13.599532
79,Bergen auf Rügen,Stralsund Hbf,37283,38835,401960,1,ICE 26,381649.0,468.0,29.351335148654588,54.420414,13.417534,54.308075,13.078294
80,Berlin Gesundbrunnen,Berlin Hbf,43063,7048,413757,0,ICE 29,220637.0,238.0,12.01793482570385,52.54869,13.390501,52.524998,13.369061
81,Berlin Gesundbrunnen,Berlin Ostkreuz,38834,1024931,400896,3,IC 17,16426.0,252.0,12.118371700972348,52.548573,13.390519,52.503128,13.469622
82,Berlin Gesundbrunnen,Berlin-Lichtenberg,12614,23461,400896,0,EC 96,301957.0,65.0,10.240294800180592,52.548573,13.390519,52.510277,13.497433
83,Berlin Gesundbrunnen,Berlin-Spandau,41570,149205,400896,0,IC 77,588194.0,219.0,21.45053235142262,52.548573,13.390519,52.5346,13.197163
84,Berlin Gesundbrunnen,Bernau(b Berlin),43655,229933,342403,1,ICE 21,246848.0,197.0,20.49774167342605,52.548386,13.390704,52.67533,13.592016
85,Berlin Gesundbrunnen,Eberswalde Hbf,18362,227524,400896,12,ICE 15,551066.0,567.0,43.04893612107019,52.548573,13.390519,52.83376,13.796866
86,Berlin Gesundbrunnen,Schwerin Hbf,39057,290320,413757,6,IC 17,517674.0,265.0,216.23446773788856,52.54869,13.390501,53.63563,11.407544
87,Berlin Hbf,Berlin Gesundbrunnen,38930,11735,190233,18,IC 17,342403.0,426.0,12.017934825703849,52.52519,13.369752,52.548386,13.390704
88,Berlin Hbf,Berlin Ostbahnhof,34259,5768,561143,8,ICE 28,463960.0,286.0,16.8955470738039,52.524788,13.369667,52.510254,13.435024
89,Berlin Hbf,Berlin Südkreuz,43064,7048,220637,1,ICE 29,605755.0,238.0,8.635850139898729,52.524998,13.369061,52.475925,13.365291
90,Berlin Hbf,Berlin Zoologischer Garten,3679,2771,147175,1,ICE 12,231593.0,488.0,15.212205745665775,52.52511,13.369472,52.50768,13.332686
91,Berlin Hbf,Berlin-Charlottenburg,42674,191663,200540,3,ICE 27,384927.0,197.0,12.920031790925442,52.524967,13.369527,52.504173,13.301819
92,Berlin Hbf,Berlin-Spandau,42968,3616,66821,3,ICE 29,65641.0,336.0,12.865009409666456,52.525143,13.369612,52.534668,13.197191
